model,2sAX,2sAX+BW,BW,BW+IsD,CoT,IMP,IsD,ProbeAX,sAX,sAX+BW,sAX+BW+IsD,Ø
deepseek-r1,0.10061546656537,0.03618799472783007,0.23446110554107302,0.13598776735772403,0.6642452518705084,0.6642452518705084,0.23446110554107302,0.004376119589874326,0.010842311996877716,0.0016235117321715805,0.002693845398434745,
gpt-4.1-mini,0.051915765837892446,0.006960721298350913,0.051915765837892446,0.0727853865909868,0.13598776735772403,0.8949011953499324,0.13598776735772403,0.002693845398434745,0.02471771947797772,0.016540609684817652,0.02471771947797772,
gpt-4.1-nano,0.1802704674363308,0.13598776735772403,0.6101052943518699,0.1802704674363308,0.4617222423083678,0.5585230500843378,0.2651605686102455,0.029743002693061633,0.04329978885935203,0.02471771947797772,0.016540609684817652,
gpt-4o-mini,0.051915765837892446,0.02471771947797772,0.024611977182846342,0.051915765837892446,0.23446110554107302,0.07299621517429099,0.1802704674363308,0.016540609684817652,0.01646114194724138,0.006960721298350913,0.006960721298350913,
llama-3.1,0.2992848079643642,0.07299621517429099,0.375083690506269,0.03618799472783007,0.2989292236272064,0.5585230500843378,0.23446110554107302,0.23446110554107302,0.23446110554107302,0.06152295239082646,0.020180049955440663,
llama-3.3,0.23446110554107302,0.08568178074431483,0.10061546656537,0.016540609684817652,0.5585230500843378,0.4617222423083678,0.10061546656537,0.07299621517429099,0.10061546656537,0.016381835143452407,0.006960721298350913,
