tier,strategy,baseline,alternative,n_strategy,n_baseline,median_strategy,median_baseline,delta_median,p_raw,p_fdr_row,r_rb
low,ProbeAX,Ø,two-sided,48,48,6.772912047302292,8.072390572390573,-1.299478525088281,0.033563312839424625,0.05470099351439107,0.25217013888888884
low,CoT,Ø,two-sided,48,48,10.054713804713803,8.072390572390573,1.98232323232323,0.3279186107212966,0.36071047179342625,-0.11631944444444442
low,IMP,Ø,two-sided,48,48,8.583311735115384,8.072390572390573,0.5109211627248111,0.7666244259675414,0.7666244259675413,-0.03559027777777768
low,IsD,Ø,two-sided,48,48,6.42387027649977,8.072390572390573,-1.648520295890803,0.18589338230801766,0.22720302282091046,0.15711805555555558
low,BW,Ø,two-sided,48,48,6.2834551276158965,8.072390572390573,-1.7889354447746761,0.06584485601370414,0.0905366770188432,0.2183159722222222
low,BW+IsD,Ø,two-sided,48,48,5.829490557751427,8.072390572390573,-2.2429000146391456,0.011701202939111146,0.025742646466044523,0.29904513888888884
low,2sAX,Ø,two-sided,48,48,5.890504879066558,8.072390572390573,-2.1818856933240145,0.03480972314552159,0.05470099351439107,0.2504340277777778
low,2sAX+BW,Ø,two-sided,48,48,4.983528474231633,8.072390572390573,-3.0888620981589394,0.005119293118910958,0.014078056077005133,0.33203125
low,sAX,Ø,two-sided,48,48,3.983585858585859,8.072390572390573,-4.088804713804714,0.0013450194225066692,0.004931737882524454,0.38020833333333337
low,sAX+BW,Ø,two-sided,48,48,3.4885260514551133,8.072390572390573,-4.583864520935459,8.31075465497592e-05,0.0004570915060236756,0.46657986111111116
low,sAX+BW+IsD,Ø,two-sided,48,48,3.6647599605764416,8.072390572390573,-4.407630611814131,7.694797250008532e-05,0.0004570915060236756,0.46875
low,Ø,,two-sided,48,0,8.072390572390573,,,,,0.0
mid-low,ProbeAX,Ø,two-sided,48,48,5.639126886984903,11.429573614636027,-5.790446727651124,0.0007197834625495031,0.002746796231272198,0.40104166666666663
mid-low,CoT,Ø,two-sided,48,48,15.177433247200689,11.429573614636027,3.747859632564662,0.23085595583024854,0.25394155141327335,-0.14236111111111116
mid-low,IMP,Ø,two-sided,48,48,12.351856053444257,11.429573614636027,0.9222824388082298,0.7305166778961482,0.7305166778961482,-0.04123263888888884
mid-low,IsD,Ø,two-sided,48,48,8.628643333948567,11.429573614636027,-2.80093028068746,0.16603753027888335,0.2056872691774908,0.1644965277777778
mid-low,BW,Ø,two-sided,48,48,8.61070351913375,11.429573614636027,-2.8188700955022767,0.1682895838724925,0.2056872691774908,0.1636284722222222
mid-low,BW+IsD,Ø,two-sided,48,48,7.680395398438164,11.429573614636027,-3.749178216197863,0.07376194022603556,0.1284990578632821,0.21223958333333337
mid-low,2sAX,Ø,two-sided,48,48,8.353798449612404,11.429573614636027,-3.0757751650236234,0.08177212773117953,0.1284990578632821,0.2065972222222222
mid-low,2sAX+BW,Ø,two-sided,48,48,6.714759521360449,11.429573614636027,-4.714814093275578,0.018836434293512883,0.04144015544572834,0.27864583333333337
mid-low,sAX,Ø,two-sided,48,48,6.050382400881378,11.429573614636027,-5.379191213754649,0.0025037048650197674,0.006885188378804361,0.3585069444444444
mid-low,sAX+BW,Ø,two-sided,48,48,5.2750577995376045,11.429573614636027,-6.1545158150984225,0.0006467840135848738,0.002746796231272198,0.40451388888888884
mid-low,sAX+BW+IsD,Ø,two-sided,48,48,5.693778815966656,11.429573614636027,-5.735794798669371,0.0007491262448924176,0.002746796231272198,0.39973958333333337
mid-low,Ø,,two-sided,48,0,11.429573614636027,,,,,0.0
mid-high,ProbeAX,Ø,two-sided,48,48,7.007721293866986,11.929871204064753,-4.922149910197767,0.0002658645507783752,0.0009748366861873758,0.43229166666666663
mid-high,CoT,Ø,two-sided,48,48,14.174937965260543,11.929871204064753,2.2450667611957904,0.07259044485344444,0.1140706990554127,-0.21310763888888884
mid-high,IMP,Ø,two-sided,48,48,10.934473411054206,11.929871204064753,-0.9953977930105466,0.9561651173132972,0.9561651173132972,-0.00694444444444442
mid-high,IsD,Ø,two-sided,48,48,9.079016221873363,11.929871204064753,-2.8508549821913896,0.11259381636015171,0.12385319799616687,0.18836805555555558
mid-high,BW,Ø,two-sided,48,48,9.45578231292517,11.929871204064753,-2.4740888911395835,0.10929509945614307,0.12385319799616687,0.19010416666666663
mid-high,BW+IsD,Ø,two-sided,48,48,8.885400313971743,11.929871204064753,-3.0444708900930095,0.03479432696062675,0.06378959942781572,0.2504340277777778
mid-high,2sAX,Ø,two-sided,48,48,8.48474873820496,11.929871204064753,-3.445122465859793,0.0954848106492242,0.12385319799616687,0.19791666666666663
mid-high,2sAX+BW,Ø,two-sided,48,48,6.5630545986011075,11.929871204064753,-5.3668166054636455,0.005663725910107103,0.012460197002235626,0.328125
mid-high,sAX,Ø,two-sided,48,48,5.463839546666511,11.929871204064753,-6.466031657398242,0.00047923670958632656,0.001317900951362398,0.4140625
mid-high,sAX+BW,Ø,two-sided,48,48,4.741057713407944,11.929871204064753,-7.188813490656809,0.00013250222670709057,0.0007287622468889982,0.453125
mid-high,sAX+BW+IsD,Ø,two-sided,48,48,4.8162168093043665,11.929871204064753,-7.1136543947603865,0.00010427870751466238,0.0007287622468889982,0.4600694444444444
mid-high,Ø,,two-sided,48,0,11.929871204064753,,,,,0.0
high,ProbeAX,Ø,two-sided,48,48,11.686085781830464,16.954365079365076,-5.268279297534612,0.024664838636709156,0.15333247425919044,0.2664930555555556
high,CoT,Ø,two-sided,48,48,19.322556114956996,16.954365079365076,2.36819103559192,0.2764770627627302,0.32773158207964903,-0.12934027777777768
high,IMP,Ø,two-sided,48,48,19.616054356916617,16.954365079365076,2.6616892775515417,0.7638073930909198,0.7638073930909198,-0.03602430555555558
high,IsD,Ø,two-sided,48,48,15.502133559141928,16.954365079365076,-1.4522315202231475,0.27961982622475245,0.32773158207964903,0.1284722222222222
high,BW,Ø,two-sided,48,48,15.466269841269842,16.954365079365076,-1.4880952380952337,0.29793780189059005,0.32773158207964903,0.12369791666666663
high,BW+IsD,Ø,two-sided,48,48,13.674100916517235,16.954365079365076,-3.280264162847841,0.09905211651020433,0.20028175247323535,0.1957465277777778
