tier,2sAX,2sAX+BW,BW,BW+IsD,CoT,IMP,IsD,ProbeAX,sAX,sAX+BW,sAX+BW+IsD,Ø
high,0.25283989643821536,0.10924459225812837,0.29793780189059005,0.09905211651020433,0.2764770627627302,0.7638073930909198,0.27961982622475245,0.024664838636709156,0.08833402426185695,0.048630776855289555,0.02787863168348917,
low,0.03480972314552159,0.005119293118910958,0.06584485601370414,0.011701202939111146,0.3279186107212966,0.7666244259675414,0.18589338230801766,0.033563312839424625,0.0013450194225066692,8.31075465497592e-05,7.694797250008532e-05,
mid-high,0.0954848106492242,0.005663725910107103,0.10929509945614307,0.03479432696062675,0.07259044485344444,0.9561651173132972,0.11259381636015171,0.0002658645507783752,0.00047923670958632656,0.00013250222670709057,0.00010427870751466238,
mid-low,0.08177212773117953,0.018836434293512883,0.1682895838724925,0.07376194022603556,0.23085595583024854,0.7305166778961482,0.16603753027888335,0.0007197834625495031,0.0025037048650197674,0.0006467840135848738,0.0007491262448924176,
