strategy,baseline,alternative,n_units_aligned,u_stat,p_raw,p_fdr,r_rb,mean_display_vals,median_display_vals
Ø,,two-sided,,,,,0.0,15.799344478031243,12.465753424657535
2sAX,Ø,two-sided,8.0,22.0,0.32820512820512815,0.45128205128205123,0.3125,13.474704598430465,9.092938119981106
2sAX+BW,Ø,two-sided,8.0,18.0,0.1605283605283605,0.3531623931623931,0.4375,12.26361713331498,7.474285647036671
BW,Ø,two-sided,8.0,22.0,0.32820512820512815,0.45128205128205123,0.3125,12.49330827562848,8.654739951828994
BW+IsD,Ø,two-sided,8.0,21.0,0.2786324786324786,0.45128205128205123,0.34375,11.256302676068975,7.833429882358091
CoT,Ø,two-sided,8.0,39.0,0.5053613053613053,0.5558974358974359,-0.21875,18.948475804407224,15.410958904109588
IMP,Ø,two-sided,8.0,35.0,0.7984459984459983,0.7984459984459984,-0.09375,17.046669997305898,13.682948327884858
IsD,Ø,two-sided,8.0,23.0,0.3822843822843822,0.46723646723646717,0.28125,12.957655000684923,8.864371305470968
ProbeAX,Ø,two-sided,8.0,18.0,0.1605283605283605,0.3531623931623931,0.4375,10.218597721276536,7.9452054794520555
sAX,Ø,two-sided,8.0,18.0,0.1605283605283605,0.3531623931623931,0.4375,12.353431337971296,7.5
sAX+BW,Ø,two-sided,8.0,14.0,0.06495726495726495,0.3531623931623931,0.5625,11.153752225540194,6.04850462105471
sAX+BW+IsD,Ø,two-sided,8.0,15.0,0.08298368298368297,0.3531623931623931,0.53125,10.070112443707487,6.010273972602739
