bias,strategy,baseline,alternative,n_strategy,n_baseline,median_strategy,median_baseline,delta_median,p_raw,p_fdr_row,r_rb
all biases,ProbeAX,Ø,two-sided,48,48,7.615685166878501,12.945205479452055,-5.329520312573553,0.0004417435249480824,0.0016197262581429687,0.41666666666666663
all biases,CoT,Ø,two-sided,48,48,16.061643835616437,12.945205479452055,3.116438356164382,0.1871615691704046,0.20587772608744506,-0.15668402777777768
all biases,IMP,Ø,two-sided,48,48,13.276373393588475,12.945205479452055,0.33116791413642055,0.9590908888567649,0.959090888856765,0.00651041666666663
all biases,IsD,Ø,two-sided,48,48,10.24319997746627,12.945205479452055,-2.7020055019857843,0.08179387824227823,0.09997029562945117,0.2065972222222222
all biases,BW,Ø,two-sided,48,48,10.342465753424658,12.945205479452055,-2.602739726027396,0.05304513483317492,0.07293706039561551,0.22960069444444442
all biases,BW+IsD,Ø,two-sided,48,48,8.258967998947705,12.945205479452055,-4.686237480504349,0.00833920846297034,0.015288548848778956,0.3129340277777778
all biases,2sAX,Ø,two-sided,48,48,9.081637446680572,12.945205479452055,-3.8635680327714823,0.022670218520779228,0.035624629104081644,0.2703993055555556
all biases,2sAX+BW,Ø,two-sided,48,48,7.465753424657534,12.945205479452055,-5.47945205479452,0.0012153741934547695,0.002673823225600493,0.3836805555555556
all biases,sAX,Ø,two-sided,48,48,7.226027397260275,12.945205479452055,-5.71917808219178,0.000664583320495995,0.0018276041313639863,0.40364583333333337
all biases,sAX+BW,Ø,two-sided,48,48,6.335616438356165,12.945205479452055,-6.60958904109589,2.9552104230415857e-05,0.00016253657326728723,0.4952256944444444
all biases,sAX+BW+IsD,Ø,two-sided,48,48,6.311843901520501,12.945205479452055,-6.633361577931554,2.1355391983968116e-05,0.00016253657326728723,0.50390625
all biases,Ø,,two-sided,48,0,12.945205479452055,,,,,0.0
anchoring bias,ProbeAX,Ø,two-sided,6,6,5.650684931506849,5.650684931506849,0.0,1.0,1.0,0.0
anchoring bias,CoT,Ø,two-sided,6,6,6.506849315068493,5.650684931506849,0.8561643835616444,0.33582209832134224,0.6156738469224607,-0.36111111111111116
anchoring bias,IMP,Ø,two-sided,6,6,6.027397260273973,5.650684931506849,0.3767123287671241,0.8725590308923818,0.95981493398162,0.08333333333333337
anchoring bias,IsD,Ø,two-sided,6,6,5.205479452054794,5.650684931506849,-0.4452054794520546,0.4696126238502669,0.6666666666666667,0.2777777777777778
anchoring bias,BW,Ø,two-sided,6,6,5.5479452054794525,5.650684931506849,-0.10273972602739612,0.6991341991341992,0.8544973544973545,0.16666666666666663
anchoring bias,BW+IsD,Ø,two-sided,6,6,5.102739726027397,5.650684931506849,-0.5479452054794516,0.30952380952380953,0.6156738469224607,0.38888888888888884
anchoring bias,2sAX,Ø,two-sided,6,6,4.965753424657534,5.650684931506849,-0.6849315068493143,0.17965367965367965,0.494047619047619,0.5
anchoring bias,2sAX+BW,Ø,two-sided,6,6,5.273972602739726,5.650684931506849,-0.37671232876712235,0.48484848484848486,0.6666666666666667,0.2777777777777778
anchoring bias,sAX,Ø,two-sided,6,6,3.732876712328767,5.650684931506849,-1.9178082191780814,0.025974025974025976,0.09523809523809525,0.7777777777777778
anchoring bias,sAX+BW,Ø,two-sided,6,6,3.4589041095890414,5.650684931506849,-2.191780821917807,0.008658008658008658,0.08333333333333334,0.8888888888888888
