strategy,baseline,alternative,n_units_aligned,u_stat,p_raw,p_fdr,r_rb,mean_display_vals,median_display_vals
Ø,,two-sided,,,,,0.0,14.795046798003474,11.929871204064753
2sAX,Ø,two-sided,8.0,22.0,0.32820512820512815,0.4011396011396011,0.3125,14.323005466340968,8.48474873820496
2sAX+BW,Ø,two-sided,8.0,17.0,0.13038073038073036,0.2868376068376068,0.46875,12.773282091456116,6.5630545986011075
BW,Ø,two-sided,8.0,21.0,0.2786324786324786,0.38311965811965804,0.34375,12.68094379820572,9.45578231292517
BW+IsD,Ø,two-sided,8.0,20.0,0.23449883449883446,0.36849816849816847,0.375,12.039839979381583,8.885400313971743
CoT,Ø,two-sided,8.0,44.0,0.23449883449883446,0.36849816849816847,-0.375,17.351120582669072,14.174937965260543
IMP,Ø,two-sided,8.0,31.0,0.959129759129759,0.959129759129759,0.03125,15.411972765343744,10.934473411054206
IsD,Ø,two-sided,8.0,25.0,0.5053613053613053,0.5558974358974359,0.21875,13.047878056362185,9.079016221873363
ProbeAX,Ø,two-sided,8.0,13.0,0.04988344988344988,0.2868376068376068,0.59375,9.656262986486757,7.007721293866986
sAX,Ø,two-sided,8.0,16.0,0.10489510489510488,0.2868376068376068,0.5,11.786539257723534,5.463839546666511
sAX+BW,Ø,two-sided,8.0,15.0,0.08298368298368297,0.2868376068376068,0.53125,11.332822612611913,4.741057713407944
sAX+BW+IsD,Ø,two-sided,8.0,14.0,0.06495726495726495,0.2868376068376068,0.5625,10.819269800660882,4.8162168093043665
