tier,2sAX,2sAX+BW,BW,BW+IsD,CoT,IMP,IsD,ProbeAX,sAX,sAX+BW,sAX+BW+IsD,Ø
high,0.32773158207964903,0.20028175247323535,0.32773158207964903,0.20028175247323535,0.32773158207964903,0.7638073930909198,0.32773158207964903,0.15333247425919044,0.20028175247323535,0.17831284846939502,0.15333247425919044,
low,0.05470099351439107,0.014078056077005133,0.0905366770188432,0.025742646466044523,0.36071047179342625,0.7666244259675413,0.22720302282091046,0.05470099351439107,0.004931737882524454,0.0004570915060236756,0.0004570915060236756,
mid-high,0.12385319799616687,0.012460197002235626,0.12385319799616687,0.06378959942781572,0.1140706990554127,0.9561651173132972,0.12385319799616687,0.0009748366861873758,0.001317900951362398,0.0007287622468889982,0.0007287622468889982,
mid-low,0.1284990578632821,0.04144015544572834,0.2056872691774908,0.1284990578632821,0.25394155141327335,0.7305166778961482,0.2056872691774908,0.002746796231272198,0.006885188378804361,0.002746796231272198,0.002746796231272198,
