model,2sAX,2sAX+BW,BW,BW+IsD,CoT,IMP,IsD,ProbeAX,sAX,sAX+BW,sAX+BW+IsD,Ø
deepseek-r1,0.18446168870317833,0.07961358840122615,0.2865635734390892,0.2136950629907092,0.6642452518705084,0.6642452518705084,0.2865635734390892,0.016045771829539195,0.02981635799141372,0.014816149691391098,0.014816149691391098,
gpt-4.1-mini,0.08158191774525957,0.03828396714093002,0.08158191774525957,0.10007990656260685,0.14958654409349642,0.8949011953499325,0.14958654409349642,0.029632299382782196,0.05437898285155098,0.05437898285155098,0.05437898285155098,
gpt-4.1-nano,0.2832821631142341,0.2832821631142341,0.6101052943518699,0.2832821631142341,0.5643271850435606,0.6101052943518699,0.3645957818390876,0.10905767654122599,0.1190744193632181,0.10905767654122599,0.10905767654122599,
gpt-4o-mini,0.07138417802710212,0.04531581904295915,0.04531581904295915,0.07138417802710212,0.234461105541073,0.08921759632413344,0.19829751417996389,0.04531581904295915,0.04531581904295915,0.03828396714093002,0.03828396714093002,
llama-3.1,0.36579254306755626,0.20073959172930023,0.41259205955689593,0.19903397100306539,0.36579254306755626,0.5585230500843378,0.36579254306755626,0.36579254306755626,0.36579254306755626,0.20073959172930023,0.19903397100306539,
llama-3.3,0.2865635734390892,0.13834626652738374,0.13834626652738374,0.06064890217766472,0.5585230500843378,0.5078944665392046,0.13834626652738374,0.13834626652738374,0.13834626652738374,0.06064890217766472,0.06064890217766472,
