tier,ProbeAX,CoT,IMP,IsD,BW,BW+IsD,2sAX,2sAX+BW,sAX,sAX+BW,sAX+BW+IsD,Ø
low,6.772912047302292,10.054713804713803,8.583311735115384,6.42387027649977,6.2834551276158965,5.829490557751427,5.890504879066558,4.983528474231633,3.983585858585859,3.4885260514551133,3.6647599605764416,8.072390572390573
mid-low,5.639126886984903,15.177433247200689,12.351856053444257,8.628643333948567,8.61070351913375,7.680395398438164,8.353798449612404,6.714759521360449,6.050382400881378,5.2750577995376045,5.693778815966656,11.429573614636027
mid-high,7.007721293866986,14.174937965260543,10.934473411054206,9.079016221873363,9.45578231292517,8.885400313971743,8.48474873820496,6.5630545986011075,5.463839546666511,4.741057713407944,4.8162168093043665,11.929871204064753
high,11.686085781830464,19.322556114956996,19.616054356916617,15.502133559141928,15.466269841269842,13.674100916517235,14.294576442850502,12.189358135164806,13.072534263338227,12.976190476190478,12.171160130718954,16.954365079365076
