model,ProbeAX,CoT,IMP,IsD,BW,BW+IsD,2sAX,2sAX+BW,sAX,sAX+BW,sAX+BW+IsD,Ø
deepseek-r1,8.86986301369863,18.534016543513573,19.047856009464166,14.124618869116624,13.018510520435274,12.281587492574044,10.529414550966276,9.503536217038615,8.941454552282948,6.614286788056448,7.858576246914511,16.25057586897453
gpt-4.1-mini,7.191780821917808,16.061643835616437,12.123287671232877,8.972602739726028,8.39041095890411,9.04109589041096,7.602739726027397,5.6506849315068495,6.917808219178083,6.267123287671232,6.815068493150685,11.472602739726028
gpt-4.1-nano,7.923904344960693,18.424657534246574,15.523563898754158,12.842465753424658,14.280821917808218,11.990667280084878,11.065681128939882,11.491340222491695,9.589041095890412,8.493150684931507,8.458904109589042,15.382392706582667
gpt-4o-mini,6.506849315068493,13.835616438356166,7.328767123287671,7.705479452054795,7.054794520547945,7.568493150684931,7.363013698630137,6.438356164383562,4.623287671232877,3.698630136986301,3.835616438356164,9.726027397260275
llama-3.1,10.787671232876713,16.027397260273972,15.871385895657738,9.338331652037825,10.42591825982237,7.818850669878067,9.9561608190856,7.571239449050298,8.561643835616438,6.712328767123287,6.575342465753424,13.013698630136986
llama-3.3,6.917808219178082,12.842465753424658,10.308219178082192,6.883561643835616,6.301369863013699,5.376712328767123,8.219178082191782,6.095890410958905,6.335616438356164,5.136986301369863,4.486301369863014,10.856164383561644
