strategy,mean_sensitivity,n_biases
CoT,19.996854724270378,8
IMP,17.987854501705947,8
Ø,17.16442513255415,8
2sAX,14.708948178089862,8
IsD,14.519798176716957,8
BW,13.96521292972448,8
2sAX+BW,13.554648185168153,8
sAX,13.099929109174841,8
BW+IsD,13.054026138091618,8
sAX+BW,12.083217646585577,8
sAX+BW+IsD,11.628657946324372,8
ProbeAX,11.514420774906716,8
