bias,2sAX,2sAX+BW,BW,BW+IsD,CoT,IMP,IsD,ProbeAX,sAX,sAX+BW,sAX+BW+IsD,Ø
all biases,0.035624629104081644,0.002673823225600493,0.07293706039561551,0.015288548848778956,0.20587772608744506,0.959090888856765,0.09997029562945117,0.0016197262581429687,0.0018276041313639863,0.00016253657326728723,0.00016253657326728723,
anchoring bias,0.494047619047619,0.6666666666666667,0.8544973544973545,0.6156738469224607,0.6156738469224607,0.95981493398162,0.6666666666666667,1.0,0.09523809523809525,0.08333333333333334,0.08333333333333334,
availability bias,0.5925925925925927,0.3952380952380952,0.7483485688437471,0.5925925925925927,0.44047619047619047,0.7483485688437471,0.5925925925925927,0.07142857142857144,0.03766340501258779,0.03766340501258779,0.03766340501258779,
bandwagon effect,0.12797619047619047,0.015873015873015872,0.12797619047619047,0.11904761904761903,0.13284893208464144,0.8181818181818182,0.1976190476190476,0.03333333333333334,0.03333333333333334,0.011904761904761904,0.011904761904761904,
confirmation bias,0.1020408163265306,0.1020408163265306,0.2642857142857143,0.07142857142857144,0.2642857142857143,0.8181818181818182,0.18154761904761904,0.07142857142857144,0.1020408163265306,0.011904761904761904,0.011904761904761904,
framing effect,0.37755102040816324,0.1130952380952381,0.48148148148148145,0.37755102040816324,0.9372294372294373,0.9372294372294373,0.42559523809523814,0.37755102040816324,0.031746031746031744,0.031746031746031744,0.031746031746031744,
hindsight bias,0.8511904761904763,0.8511904761904763,0.9372294372294373,0.9372294372294373,0.9372294372294373,0.9372294372294373,0.9372294372294373,0.888888888888889,0.8511904761904763,0.8511904761904763,0.888888888888889,
hyperbolic discounting,0.02777777777777778,0.015873015873015872,0.06462585034013606,0.12797619047619047,0.1976190476190476,0.8181818181818182,0.1976190476190476,0.019047619047619046,0.019047619047619046,0.011904761904761904,0.011904761904761904,
overconfidence bias,0.023662045769364624,0.015873015873015872,0.33035714285714285,0.33035714285714285,0.4333333333333333,0.4848484848484849,0.37830687830687837,0.023662045769364624,0.015873015873015872,0.015873015873015872,0.023662045769364624,
