model,strategy,baseline,alternative,n_strategy,n_baseline,median_strategy,median_baseline,delta_median,p_raw,p_fdr_row,r_rb
deepseek-r1,ProbeAX,Ø,two-sided,16,16,8.86986301369863,16.25057586897453,-7.380712855275899,0.004376119589874326,0.016045771829539195,0.59375
deepseek-r1,CoT,Ø,two-sided,16,16,18.534016543513573,16.25057586897453,2.283440674539044,0.6642452518705084,0.6642452518705084,-0.09375
deepseek-r1,IMP,Ø,two-sided,16,16,19.047856009464166,16.25057586897453,2.7972801404896366,0.6642452518705084,0.6642452518705084,-0.09375
deepseek-r1,IsD,Ø,two-sided,16,16,14.124618869116624,16.25057586897453,-2.1259569998579053,0.23446110554107302,0.2865635734390892,0.25
deepseek-r1,BW,Ø,two-sided,16,16,13.018510520435274,16.25057586897453,-3.2320653485392548,0.23446110554107302,0.2865635734390892,0.25
deepseek-r1,BW+IsD,Ø,two-sided,16,16,12.281587492574044,16.25057586897453,-3.9689883764004854,0.13598776735772403,0.2136950629907092,0.3125
deepseek-r1,2sAX,Ø,two-sided,16,16,10.529414550966276,16.25057586897453,-5.721161318008253,0.10061546656537,0.18446168870317833,0.34375
deepseek-r1,2sAX+BW,Ø,two-sided,16,16,9.503536217038615,16.25057586897453,-6.747039651935914,0.03618799472783007,0.07961358840122615,0.4375
deepseek-r1,sAX,Ø,two-sided,16,16,8.941454552282948,16.25057586897453,-7.309121316691581,0.010842311996877716,0.02981635799141372,0.53125
deepseek-r1,sAX+BW,Ø,two-sided,16,16,6.614286788056448,16.25057586897453,-9.63628908091808,0.0016235117321715805,0.014816149691391098,0.65625
deepseek-r1,sAX+BW+IsD,Ø,two-sided,16,16,7.858576246914511,16.25057586897453,-8.391999622060018,0.002693845398434745,0.014816149691391098,0.625
deepseek-r1,Ø,,two-sided,16,0,16.25057586897453,,,,,0.0
gpt-4.1-mini,ProbeAX,Ø,two-sided,16,16,7.191780821917808,11.472602739726028,-4.28082191780822,0.002693845398434745,0.029632299382782196,0.625
gpt-4.1-mini,CoT,Ø,two-sided,16,16,16.061643835616437,11.472602739726028,4.589041095890408,0.13598776735772403,0.14958654409349642,-0.3125
gpt-4.1-mini,IMP,Ø,two-sided,16,16,12.123287671232877,11.472602739726028,0.6506849315068486,0.8949011953499324,0.8949011953499325,0.03125
gpt-4.1-mini,IsD,Ø,two-sided,16,16,8.972602739726028,11.472602739726028,-2.5,0.13598776735772403,0.14958654409349642,0.3125
gpt-4.1-mini,BW,Ø,two-sided,16,16,8.39041095890411,11.472602739726028,-3.082191780821919,0.051915765837892446,0.08158191774525957,0.40625
gpt-4.1-mini,BW+IsD,Ø,two-sided,16,16,9.04109589041096,11.472602739726028,-2.4315068493150687,0.0727853865909868,0.10007990656260685,0.375
gpt-4.1-mini,2sAX,Ø,two-sided,16,16,7.602739726027397,11.472602739726028,-3.869863013698631,0.051915765837892446,0.08158191774525957,0.40625
gpt-4.1-mini,2sAX+BW,Ø,two-sided,16,16,5.6506849315068495,11.472602739726028,-5.821917808219179,0.006960721298350913,0.03828396714093002,0.5625
gpt-4.1-mini,sAX,Ø,two-sided,16,16,6.917808219178083,11.472602739726028,-4.554794520547945,0.02471771947797772,0.05437898285155098,0.46875
gpt-4.1-mini,sAX+BW,Ø,two-sided,16,16,6.267123287671232,11.472602739726028,-5.205479452054796,0.016540609684817652,0.05437898285155098,0.5
gpt-4.1-mini,sAX+BW+IsD,Ø,two-sided,16,16,6.815068493150685,11.472602739726028,-4.657534246575343,0.02471771947797772,0.05437898285155098,0.46875
gpt-4.1-mini,Ø,,two-sided,16,0,11.472602739726028,,,,,0.0
gpt-4.1-nano,ProbeAX,Ø,two-sided,16,16,7.923904344960693,15.382392706582667,-7.458488361621974,0.029743002693061633,0.10905767654122599,0.453125
gpt-4.1-nano,CoT,Ø,two-sided,16,16,18.424657534246574,15.382392706582667,3.0422648276639066,0.4617222423083678,0.5643271850435606,-0.15625
gpt-4.1-nano,IMP,Ø,two-sided,16,16,15.523563898754158,15.382392706582667,0.1411711921714911,0.5585230500843378,0.6101052943518699,-0.125
gpt-4.1-nano,IsD,Ø,two-sided,16,16,12.842465753424658,15.382392706582667,-2.539926953158009,0.2651605686102455,0.3645957818390876,0.234375
gpt-4.1-nano,BW,Ø,two-sided,16,16,14.280821917808218,15.382392706582667,-1.101570788774449,0.6101052943518699,0.6101052943518699,0.109375
gpt-4.1-nano,BW+IsD,Ø,two-sided,16,16,11.990667280084878,15.382392706582667,-3.391725426497789,0.1802704674363308,0.2832821631142341,0.28125
gpt-4.1-nano,2sAX,Ø,two-sided,16,16,11.065681128939882,15.382392706582667,-4.316711577642785,0.1802704674363308,0.2832821631142341,0.28125
gpt-4.1-nano,2sAX+BW,Ø,two-sided,16,16,11.491340222491695,15.382392706582667,-3.891052484090972,0.13598776735772403,0.2832821631142341,0.3125
gpt-4.1-nano,sAX,Ø,two-sided,16,16,9.589041095890412,15.382392706582667,-5.793351610692255,0.04329978885935203,0.1190744193632181,0.421875
gpt-4.1-nano,sAX+BW,Ø,two-sided,16,16,8.493150684931507,15.382392706582667,-6.88924202165116,0.02471771947797772,0.10905767654122599,0.46875
gpt-4.1-nano,sAX+BW+IsD,Ø,two-sided,16,16,8.458904109589042,15.382392706582667,-6.923488596993625,0.016540609684817652,0.10905767654122599,0.5
gpt-4.1-nano,Ø,,two-sided,16,0,15.382392706582667,,,,,0.0
gpt-4o-mini,ProbeAX,Ø,two-sided,16,16,6.506849315068493,9.726027397260275,-3.2191780821917817,0.016540609684817652,0.04531581904295915,0.5
gpt-4o-mini,CoT,Ø,two-sided,16,16,13.835616438356166,9.726027397260275,4.109589041095891,0.23446110554107302,0.234461105541073,-0.25
gpt-4o-mini,IMP,Ø,two-sided,16,16,7.328767123287671,9.726027397260275,-2.397260273972604,0.07299621517429099,0.08921759632413344,0.375
gpt-4o-mini,IsD,Ø,two-sided,16,16,7.705479452054795,9.726027397260275,-2.0205479452054798,0.1802704674363308,0.19829751417996389,0.28125
gpt-4o-mini,BW,Ø,two-sided,16,16,7.054794520547945,9.726027397260275,-2.6712328767123292,0.024611977182846342,0.04531581904295915,0.46875
gpt-4o-mini,BW+IsD,Ø,two-sided,16,16,7.568493150684931,9.726027397260275,-2.1575342465753433,0.051915765837892446,0.07138417802710212,0.40625
gpt-4o-mini,2sAX,Ø,two-sided,16,16,7.363013698630137,9.726027397260275,-2.3630136986301373,0.051915765837892446,0.07138417802710212,0.40625
gpt-4o-mini,2sAX+BW,Ø,two-sided,16,16,6.438356164383562,9.726027397260275,-3.287671232876713,0.02471771947797772,0.04531581904295915,0.46875
gpt-4o-mini,sAX,Ø,two-sided,16,16,4.623287671232877,9.726027397260275,-5.102739726027398,0.01646114194724138,0.04531581904295915,0.5
gpt-4o-mini,sAX+BW,Ø,two-sided,16,16,3.698630136986301,9.726027397260275,-6.027397260273974,0.006960721298350913,0.03828396714093002,0.5625
gpt-4o-mini,sAX+BW+IsD,Ø,two-sided,16,16,3.835616438356164,9.726027397260275,-5.890410958904111,0.006960721298350913,0.03828396714093002,0.5625
gpt-4o-mini,Ø,,two-sided,16,0,9.726027397260275,,,,,0.0
llama-3.1,ProbeAX,Ø,two-sided,16,16,10.787671232876713,13.013698630136986,-2.226027397260273,0.23446110554107302,0.36579254306755626,0.25
llama-3.1,CoT,Ø,two-sided,16,16,16.027397260273972,13.013698630136986,3.013698630136986,0.2989292236272064,0.36579254306755626,-0.21875
llama-3.1,IMP,Ø,two-sided,16,16,15.871385895657738,13.013698630136986,2.8576872655207524,0.5585230500843378,0.5585230500843378,-0.125
llama-3.1,IsD,Ø,two-sided,16,16,9.338331652037825,13.013698630136986,-3.675366978099161,0.23446110554107302,0.36579254306755626,0.25
llama-3.1,BW,Ø,two-sided,16,16,10.42591825982237,13.013698630136986,-2.5877803703146167,0.375083690506269,0.41259205955689593,0.1875
llama-3.1,BW+IsD,Ø,two-sided,16,16,7.818850669878067,13.013698630136986,-5.194847960258919,0.03618799472783007,0.19903397100306539,0.4375
llama-3.1,2sAX,Ø,two-sided,16,16,9.9561608190856,13.013698630136986,-3.057537811051386,0.2992848079643642,0.36579254306755626,0.21875
llama-3.1,2sAX+BW,Ø,two-sided,16,16,7.571239449050298,13.013698630136986,-5.442459181086688,0.07299621517429099,0.20073959172930023,0.375
llama-3.1,sAX,Ø,two-sided,16,16,8.561643835616438,13.013698630136986,-4.4520547945205475,0.23446110554107302,0.36579254306755626,0.25
llama-3.1,sAX+BW,Ø,two-sided,16,16,6.712328767123287,13.013698630136986,-6.301369863013699,0.06152295239082646,0.20073959172930023,0.390625
llama-3.1,sAX+BW+IsD,Ø,two-sided,16,16,6.575342465753424,13.013698630136986,-6.438356164383562,0.020180049955440663,0.19903397100306539,0.484375
llama-3.1,Ø,,two-sided,16,0,13.013698630136986,,,,,0.0
llama-3.3,ProbeAX,Ø,two-sided,16,16,6.917808219178082,10.856164383561644,-3.9383561643835625,0.07299621517429099,0.13834626652738374,0.375
llama-3.3,CoT,Ø,two-sided,16,16,12.842465753424658,10.856164383561644,1.986301369863014,0.5585230500843378,0.5585230500843378,-0.125
llama-3.3,IMP,Ø,two-sided,16,16,10.308219178082192,10.856164383561644,-0.5479452054794525,0.4617222423083678,0.5078944665392046,0.15625
llama-3.3,IsD,Ø,two-sided,16,16,6.883561643835616,10.856164383561644,-3.972602739726028,0.10061546656537,0.13834626652738374,0.34375
llama-3.3,BW,Ø,two-sided,16,16,6.301369863013699,10.856164383561644,-4.554794520547945,0.10061546656537,0.13834626652738374,0.34375
llama-3.3,BW+IsD,Ø,two-sided,16,16,5.376712328767123,10.856164383561644,-5.479452054794521,0.016540609684817652,0.06064890217766472,0.5
llama-3.3,2sAX,Ø,two-sided,16,16,8.219178082191782,10.856164383561644,-2.6369863013698627,0.23446110554107302,0.2865635734390892,0.25
llama-3.3,2sAX+BW,Ø,two-sided,16,16,6.095890410958905,10.856164383561644,-4.760273972602739,0.08568178074431483,0.13834626652738374,0.359375
llama-3.3,sAX,Ø,two-sided,16,16,6.335616438356164,10.856164383561644,-4.520547945205481,0.10061546656537,0.13834626652738374,0.34375
llama-3.3,sAX+BW,Ø,two-sided,16,16,5.136986301369863,10.856164383561644,-5.719178082191782,0.016381835143452407,0.06064890217766472,0.5
llama-3.3,sAX+BW+IsD,Ø,two-sided,16,16,4.486301369863014,10.856164383561644,-6.36986301369863,0.006960721298350913,0.06064890217766472,0.5625
llama-3.3,Ø,,two-sided,16,0,10.856164383561644,,,,,0.0
