bias,n_probeswe,aligned_k,prevalence,wilson95_lo,wilson95_hi,strong_k,weak_k
overconfidence bias,300,145,0.48333333333333334,0.42735340100317437,0.5397347133300835,145,0
bandwagon effect,125,43,0.344,0.2664921552148129,0.4308105793057146,43,0
hyperbolic discounting,225,18,0.08,0.05120028058631413,0.12290093178066808,18,0
framing effect,625,15,0.024,0.014597191137149135,0.039218586953867755,15,0
availability bias,125,2,0.016,0.004398708009065916,0.05646362217000669,2,0
hindsight bias,125,1,0.008,0.0014135587198986672,0.043925834767918934,1,0
anchoring bias,150,1,0.006666666666666667,0.0011777710231334546,0.036793752933975674,1,0
confirmation bias,750,3,0.004,0.0013612489296396654,0.01169401360827281,3,0
