bias_name,feature,effect,se,z,p_value,ci_low,ci_high,rate_sensitive_per_1k_tokens,rate_not_sensitive_per_1k_tokens,count_sensitive,count_not_sensitive,tokens_sensitive,tokens_not_sensitive,p_fdr,significant,direction
anchoring bias,pm_process_terms,-20.64629056767009,0.1411970619373084,-146.22323074142332,0.0,-20.923036809067213,-20.369544326272965,0.0,0.07753991690305571,0,60,26020,773795,0.0,True,not>sensitive
anchoring bias,hedges,-22.64629056766913,0.08520634900202577,-265.7817267482112,0.0,-22.8132950117131,-22.479286123625158,0.0,0.3876995845152786,0,300,26020,773795,0.0,True,not>sensitive
anchoring bias,requirements_terms,0.8184830801392847,0.10914757081538157,7.498866663040204,6.437196616142506e-14,0.6045538413411369,1.0324123189374326,5.226748654880861,2.3055201959175236,136,1784,26020,773795,6.565940548465356e-13,True,sensitive>not
anchoring bias,bug_failure_terms,0.5168797327535213,0.08241187051455501,6.271908761763071,3.5664856269550213e-10,0.3553524665449935,0.6784069989620491,12.490392006149117,7.449001350486886,325,5764,26020,773795,2.218180085057391e-09,True,sensitive>not
anchoring bias,negations,-0.9766546656508811,0.15766619334828166,-6.194445650713906,5.849051855564976e-10,-1.285680404613513,-0.667628926688249,1.3835511145272867,3.674099729256457,36,2843,26020,773795,3.4686237748117882e-09,True,not>sensitive
anchoring bias,testing_quality_terms,-0.9913498733974183,0.20158427726549386,-4.917793623814095,8.75251144227844e-07,-1.3864550568377862,-0.5962446899570504,3.535741737125288,9.528363455437164,92,7373,26020,773795,3.649422873442306e-06,True,not>sensitive
anchoring bias,refactoring_design_terms,0.7008326826019634,0.14915134805261335,4.698802201604934,2.6169174705724053e-06,0.40849604041884124,0.9931693247850856,5.342044581091468,2.650572826136121,139,2051,26020,773795,9.533056499942334e-06,True,sensitive>not
anchoring bias,emotion_words,1.0253178934115734,0.23793362064170226,4.309260249334716,1.6380152302840836e-05,0.558967996953837,1.4916677898693098,0.6917755572636434,0.2481277340897783,18,192,26020,773795,5.1567146138573e-05,True,sensitive>not
anchoring bias,incident_reliability,-1.2387507838080947,0.29678675236531665,-4.173874925129099,2.994622008750559e-05,-1.8204528184441153,-0.657048749172074,0.42275172943889316,1.4590427697258317,11,1129,26020,773795,8.87940246780689e-05,True,not>sensitive
anchoring bias,estimation_uncertainty,0.46458665639228214,0.11216652781539523,4.141936685041222,3.443854234792904e-05,0.2447402618741075,0.6844330509104568,3.689469638739431,2.318443515401366,96,1794,26020,773795,0.00010094055515772306,True,sensitive>not
anchoring bias,collaboration_conflict,0.41616817035344533,0.10067143805622104,4.133924958149816,3.566199589122007e-05,0.2188521517632521,0.6134841889436385,7.378939277478862,4.866922117615131,192,3766,26020,773795,0.00010272292428445148,True,sensitive>not
anchoring bias,modals,0.11565040976396018,0.02953335079979101,3.9159257799077296,9.005795264127669e-05,0.057765042196369805,0.17353577733155057,22.55956956187548,20.095761797375275,587,15550,26020,773795,0.0002496171513426691,True,sensitive>not
availability bias,frontend_perf_accessibility,-21.738255171589124,0.1011240071573793,-214.9663149498998,0.0,-21.93645822561759,-21.54005211756066,0.0,0.14209709257507167,0,120,52927,844493,0.0,True,not>sensitive
availability bias,performance_judgment,-22.738255171588374,0.09225425907206812,-246.47377151254852,0.0,-22.91907351936963,-22.55743682380712,0.0,0.17762136571883957,0,150,52927,844493,0.0,True,not>sensitive
availability bias,data_db_terms,0.8068728766893658,0.07317253833348004,11.026990385547165,2.8318363236484427e-28,0.6634547015557449,0.9502910518229867,12.564475598465812,5.606914444524703,665,4735,52927,844493,8.023536250337254e-27,True,sensitive>not
availability bias,collaboration_conflict,0.9119076337930986,0.1007514375731514,9.051063247916444,1.4158290949226943e-19,0.7144348161497218,1.1093804514364753,4.74238101536078,1.905285182944086,251,1609,52927,844493,2.57883156575205e-18,True,sensitive>not
availability bias,time_pressure_deadline,0.959714233757662,0.11637285452254784,8.246890889590686,1.6256872560401648e-16,0.7316234388934681,1.1878050286218558,2.5506830162299017,0.9769175114536177,135,825,52927,844493,2.438530884060247e-15,True,sensitive>not
availability bias,performance_scalability,0.5673708608823248,0.08039254247728098,7.057506124310778,1.695172970375619e-12,0.4098014776268541,0.7249402441377955,8.011034065788728,4.542370392649791,424,3836,52927,844493,1.4408970248192761e-11,True,sensitive>not
availability bias,legacy_tech_debt,0.6363140787035844,0.09569709777208676,6.649251581474673,2.945870927376563e-11,0.4487477670702943,0.8238803903368744,6.121639238951763,3.2398137107116343,324,2736,52927,844493,2.2763548075182534e-10,True,sensitive>not
availability bias,refactoring_design_terms,0.5529512669336811,0.09324614017424511,5.93001775623532,3.0290192316162886e-09,0.3701888321921607,0.7357137016752016,5.2903055151434994,3.043246065982785,280,2570,52927,844493,1.609166466796153e-08,True,sensitive>not
availability bias,negations,-0.7224754532238999,0.13791641609564947,-5.238502229660898,1.6188502091278514e-07,-0.992791628771373,-0.452159277676427,1.9082887751053337,3.930168752138857,101,3319,52927,844493,7.788807609954757e-07,True,not>sensitive
availability bias,ml_ai_terms,-1.6757652745099383,0.33710265020486013,-4.971083061766383,6.657991561425662e-07,-2.336486468911464,-1.0150440801084124,0.30230317229391424,1.6151702856033145,16,1364,52927,844493,2.927220427868179e-06,True,not>sensitive
availability bias,documentation_terms,-0.8232871435253399,0.17992255229533305,-4.57578626482554,4.7443473050717695e-06,-1.1759353460241928,-0.4706389410264872,1.851606930300225,4.217915364603377,98,3562,52927,844493,1.634876436207164e-05,True,not>sensitive
availability bias,modals,-0.10386617562858438,0.023226442050813544,-4.4718935169386524,7.753003246307122e-06,-0.14939000204817893,-0.05834234920898984,16.305477355603,18.09014402724475,863,15277,52927,844493,2.6013366155372583e-05,True,not>sensitive
bandwagon effect,performance_scalability,0.54396504116608,0.07330699702930563,7.420369994812656,1.1679360013905364e-13,0.400283326988641,0.687646755343519,10.53544167813189,6.115215012724205,559,4991,53059,816161,1.103050667979951e-12,True,sensitive>not
bandwagon effect,collaboration_conflict,0.5563914317755765,0.07728585102815522,7.199137026684007,6.059483324011e-13,0.40491116376039227,0.7078716997907607,4.1463276729678284,2.376981992523534,220,1940,53059,816161,5.32816637111312e-12,True,sensitive>not
bandwagon effect,testing_quality_terms,-0.92004513899019,0.1763692397190066,-5.216585048821529,1.822519135289678e-07,-1.265728848839443,-0.5743614291409371,2.3558679960044477,5.9118237700649745,125,4825,53059,816161,8.606340361090146e-07,True,not>sensitive
bandwagon effect,risk_liability,-1.198618495243743,0.25706123057869823,-4.662774283564285,3.1197487109697234e-06,-1.7024585071779916,-0.6947784833094945,0.28270415952053374,0.9373150640621152,15,765,53059,816161,1.104911001801777e-05,True,not>sensitive
bandwagon effect,intensifiers,0.42858330779669634,0.09673485896059827,4.43049498807111,9.401703249495216e-06,0.23898298423392372,0.618183631359469,1.8470005088674872,1.2031939776588199,98,982,53059,816161,3.0471840004730236e-05,True,sensitive>not
bandwagon effect,modals,0.07905475968281098,0.022218531583011243,3.5580551031220224,0.0003736109476892904,0.03550643778010894,0.12260308158551302,23.89792495146912,22.081427561473777,1268,18022,53059,816161,0.0009160653044304717,True,sensitive>not
bandwagon effect,tooling_infra_terms,-0.3761481265770166,0.113915055548496,-3.302005382571073,0.0009599622800376852,-0.5994216354520687,-0.15287461770196442,5.145215703273714,7.494844767147659,273,6117,53059,816161,0.0022053187514379253,True,not>sensitive
bandwagon effect,process_governance_terms,-0.575320254167785,0.18423735757593854,-3.1227122541130172,0.0017919284516180836,-0.9364254750166245,-0.21421503331894548,2.7328068753651595,4.858110103276192,145,3965,53059,816161,0.0038398466820387506,True,not>sensitive
bandwagon effect,legacy_tech_debt,-0.40119497786677155,0.13034718530419298,-3.077895214465103,0.002084682043229781,-0.6566754610629898,-0.1457144946705533,4.504419608360505,6.727839237601405,239,5491,53059,816161,0.00432190179693979,True,not>sensitive
bandwagon effect,api_platform_terms,0.41780135605763585,0.14034359816184389,2.976989057782517,0.002910943992250807,0.14272790366042182,0.6928748084548499,2.337021052036412,1.538912052891525,124,1256,53059,816161,0.005844808803338235,True,sensitive>not
bandwagon effect,security_privacy_terms,-0.3602248032751085,0.1243146132833498,-2.8976867140635307,0.0037592589779039893,-0.603881445310474,-0.11656816123974287,3.580919353926761,5.133791004470932,190,4190,53059,816161,0.007373931072042441,True,not>sensitive
bandwagon effect,bug_failure_terms,-0.2652486965404691,0.09281811441338178,-2.857725544381751,0.004266892741879417,-0.4471722007906974,-0.08332519229024082,5.182909591209786,6.75724520039551,275,5515,53059,816161,0.008242860978630692,True,not>sensitive
confirmation bias,emotion_words,-21.716871761605326,0.1360736547485445,-159.59644651080131,0.0,-21.983576124912474,-21.450167398298177,0.0,0.07611257557344484,0,60,48598,788306,0.0,True,not>sensitive
confirmation bias,modals,0.1743787827618331,0.022049563488669165,7.908491379044438,2.6052668267327803e-15,0.13116163832404154,0.21759592719962467,20.04197703609202,16.834833173919773,974,13271,48598,788306,3.16353828960409e-14,True,sensitive>not
confirmation bias,mobile_release,0.6887350352836997,0.10846118816720478,6.350059840963012,2.152311870190501e-10,0.47615110647597836,0.9013189640914211,1.687312235071402,0.8473866747176858,82,668,48598,788306,1.4072808382014816e-09,True,sensitive>not
confirmation bias,data_db_terms,0.42851431421494723,0.0699208518751019,6.128562549272041,8.867656714435832e-10,0.29146944453974755,0.5655591838901469,11.420223054446685,7.440004262304232,555,5865,48598,788306,5.025005471513638e-09,True,sensitive>not
confirmation bias,documentation_terms,0.4257671187026988,0.09555909794388333,4.455537231554119,8.36833707248937e-06,0.23847128673268747,0.6130629506727101,4.897320877402362,3.199265259937131,238,2522,48598,788306,2.7713324071231033e-05,True,sensitive>not
confirmation bias,negations,-0.32490985066600414,0.07470590305905825,-4.349185771961673,1.3664392387357715e-05,-0.4713334206617583,-0.17848628067024996,3.5803942549076093,4.954928669831259,174,3906,48598,788306,4.3555250734702714e-05,True,not>sensitive
confirmation bias,collaboration_conflict,0.456811415642118,0.10906494868058252,4.188434700317673,2.8088510505431195e-05,0.2430441162281763,0.6705787150560598,3.3952014486192845,2.1501802599498165,165,1695,48598,788306,8.426553151629358e-05,True,sensitive>not
confirmation bias,tooling_infra_terms,-0.5250071010308366,0.1374178617069979,-3.8205157212404868,0.00013317291567408368,-0.7943461099765525,-0.2556680920851207,4.300588501584428,7.270019510190205,209,5731,48598,788306,0.00035156857253361873,True,not>sensitive
confirmation bias,bug_failure_terms,-0.28475402979331205,0.08631910311062932,-3.2988529714953385,0.0009708074436140456,-0.4539394718901455,-0.1155685876964786,5.247129511502531,6.975717551306219,255,5499,48598,788306,0.002210320518942693,True,not>sensitive
confirmation bias,performance_scalability,0.31441267988015914,0.09550733843148135,3.2920264038739218,0.0009946827258325082,0.1272182965544557,0.5016070632058626,7.160788509815219,5.22893394189566,348,4122,48598,788306,0.0022446380096220317,True,sensitive>not
confirmation bias,incident_reliability,-0.4559332132252866,0.14557731225343806,-3.1318974513799556,0.001736805280004356,-0.7412647452420252,-0.17060168120854802,0.9053870529651425,1.4283793349283147,44,1126,48598,788306,0.0037532656474670405,True,not>sensitive
confirmation bias,security_privacy_terms,0.23827548158289008,0.09929373992381048,2.399702959780972,0.01640838074473323,0.04365975133222155,0.4328912118335586,6.131939585991193,4.831880005987522,298,3809,48598,788306,0.028081456979241436,True,sensitive>not
framing effect,legacy_tech_debt,0.5308177572778154,0.05787456882996838,9.171865432593071,4.6490312457752315e-20,0.4173836023710774,0.6442519121845535,6.538534181154271,3.8454677680507148,727,2242,111187,583024,9.119253597482186e-19,True,sensitive>not
framing effect,collaboration_conflict,-1.0305086188292394,0.12601322095859688,-8.177781751708617,2.8911681504338867e-16,-1.2774945319080893,-0.7835227057503895,0.9443550055312222,2.646546282828837,105,1543,111187,583024,4.095821546448006e-15,True,not>sensitive
framing effect,time_pressure_deadline,0.5043353734380172,0.0636344880974355,7.925503740452689,2.272233102634955e-15,0.3796117767670436,0.6290589701089907,4.856682885589143,2.9329838908861383,540,1710,111187,583024,2.897097205859567e-14,True,sensitive>not
