bias,mean_diff,ci_lower,ci_upper,p_value
Anchoring Bias,2.593629214980674,-0.09405211467030794,5.281310544631657,0.05579815172020667
Availability Bias,9.587813232294065,6.757806345321537,12.417820119266594,0.00033037910471513256
Bandwagon Effect,8.787878787878789,4.4047791018234,13.170978473934177,0.0036031598019536566
Confirmation Bias,23.05050505050505,13.795454635775018,32.30555546523508,0.0013782461337827584
Framing Effect,17.730996857024255,15.255472569903219,20.20652114414529,8.693360306277542e-06
Hindsight Bias,-6.015183615819211,-21.214622449126033,9.184255217487609,0.3556783980653244
Hyperbolic Discounting,-7.1969252817406035,-15.267559003986094,0.8737084405048874,0.07044693749546525
Overconfidence Bias,-3.357487922705314,-8.866865915538416,2.1518900701277888,0.17800081287965602
