bias,mean_diff,ci_lower,ci_upper,p_value
Anchoring Bias,3.3813141410102623,-1.0478231969595995,7.810451478980124,0.10695259670496396
Availability Bias,8.403201927919248,1.9383154633012403,14.868088392537256,0.0205232933287878
Bandwagon Effect,4.504289470042894,1.6858325973856148,7.322746342700174,0.009280609122960623
Confirmation Bias,16.707291440168152,7.80894293848643,25.605639941849873,0.0047713128231536475
Framing Effect,18.237179238671775,15.48117792091684,20.993180556426708,1.2847153934672412e-05
Hindsight Bias,8.572007406985477,-7.685671483897256,24.82968629786821,0.233311371534871
Hyperbolic Discounting,-3.0129794055987174,-10.47975715833433,4.453798347136896,0.3471437750247249
Overconfidence Bias,-3.2215080167557417,-7.312376915497073,0.8693608819855898,0.0988266838054039
