bias,mean_diff,ci_lower,ci_upper,p_value
Anchoring Bias,3.0547780887644946,-0.9456359930598262,7.055192170588816,0.10688560730963269
Availability Bias,8.453867114074136,1.4638411744714572,15.443893053676813,0.026583589701700928
Bandwagon Effect,5.957792207792207,1.6111263941656349,10.304458021418778,0.01685810078829975
Confirmation Bias,21.958798890675812,12.525124660235985,31.39247312111564,0.0018689496576813167
Framing Effect,18.457689230320877,14.45508859709999,22.460289863541764,7.523406934424789e-05
Hindsight Bias,7.071078431372548,-9.075297990530444,23.21745485327554,0.3113856334848277
Hyperbolic Discounting,-4.6129402021498,-11.319747537575925,2.0938671332763246,0.13729285803808058
Overconfidence Bias,-3.3007326624616815,-7.401694924192341,0.8002295992689779,0.09336080921786247
