bias,mean_diff,ci_lower,ci_upper,p_value
Anchoring Bias,4.566234909544954,2.1864486038260784,6.946021215263829,0.004350842775569504
Availability Bias,8.389437167748065,1.8037419001491992,14.975132435346932,0.022085121976199714
Bandwagon Effect,8.736243824512616,5.166175297102701,12.306312351922532,0.0014926494254638664
Confirmation Bias,21.455153778683194,15.143521086317268,27.76678647104912,0.0003251691565171157
Framing Effect,20.880220466818404,17.28276674207602,24.477674191560787,2.447758350533826e-05
Hindsight Bias,-11.035370879120878,-24.92143435579132,2.8506925975495623,0.09651612771861087
Hyperbolic Discounting,-10.293425062332625,-16.34588793666571,-4.24096218799954,0.0072099413395717744
Overconfidence Bias,-1.9737750172532778,-5.275851227837752,1.3283011933311957,0.1850094361824943
