bias,mean_diff,ci_lower,ci_upper,p_value
Anchoring Bias,3.1587365053978407,0.5883658455694958,5.729107165226186,0.0251234841108086
Availability Bias,9.833868161352846,6.319927013246312,13.34780930945938,0.0008082391707805102
Bandwagon Effect,8.024891774891776,3.0985370821317764,12.951246467651774,0.008593288160026804
Confirmation Bias,17.42760942760943,7.408025643506297,27.44719321171256,0.00657224264771597
Framing Effect,16.833922793624286,15.282049231211415,18.385796356037158,1.1105440169833326e-06
Hindsight Bias,2.735323886639677,-15.509984508906175,20.98063228218553,0.7158061050939899
Hyperbolic Discounting,-3.1465180240733015,-10.991357427972288,4.698321379825684,0.34978853442869784
Overconfidence Bias,-2.325741890959282,-6.709555873202435,2.0580720912838704,0.23082750661236032
