bias,mean_diff,ci_lower,ci_upper,p_value
Anchoring Bias,2.444355591096895,-0.8015984106607954,5.690309592854585,0.11066916017663574
Availability Bias,10.70329176497023,5.493146418291138,15.913437111649321,0.003242837409204958
Bandwagon Effect,9.745670995670997,5.168241759808366,14.323100231533628,0.002774441398902802
Confirmation Bias,25.56228956228956,15.268090815951687,35.85648830862743,0.0013969860258302783
Framing Effect,21.029004329004326,18.331696802518287,23.726311855490366,5.717279072280806e-06
Hindsight Bias,-11.858621593291405,-30.54942171696139,6.832178530378583,0.1638318305175918
Hyperbolic Discounting,-11.820261437908497,-16.476641940431424,-7.16388093538557,0.0012640012901283574
Overconfidence Bias,-2.0324361628709453,-8.532225015044043,4.467352689302153,0.45800613521806877
