bias,mean_diff,ci_lower,ci_upper,p_value
Anchoring Bias,2.586965213914434,-0.46656921155174613,5.640499639380614,0.0813377979735444
Availability Bias,11.42512077294686,6.851838977469165,15.998402568424556,0.0013592261825769079
Bandwagon Effect,7.997835497835499,5.183294171521633,10.812376824149364,0.0007530833397124579
Confirmation Bias,17.7830123093281,6.689141493214439,28.87688312544176,0.009169130608979299
Framing Effect,16.797402597402595,14.437340525846086,19.157464668959104,8.969157895320137e-06
Hindsight Bias,-7.016999244800743,-15.997344080294472,1.9633455906929846,0.1008284681237592
Hyperbolic Discounting,-3.3644086071192025,-11.081143283465266,4.352326069226862,0.3133205617696696
Overconfidence Bias,-3.5748792270531404,-10.294510061889765,3.144751607783484,0.22971461265007717
