bias,mean_diff,ci_lower,ci_upper,p_value
Anchoring Bias,4.622151139544182,0.560569132525039,8.683733146563325,0.03280865488892094
Availability Bias,10.698006597795931,5.4682593528108345,15.927753842781028,0.0033032298683971233
Bandwagon Effect,12.065872508093195,8.293872145178389,15.837872871008,0.0004332538755003862
Confirmation Bias,29.542636296808308,18.342788304126252,40.74248428949036,0.001061035213518501
Framing Effect,22.56958986031151,17.691230241336058,27.44794947928696,7.405400324741397e-05
Hindsight Bias,-10.040213781652136,-29.975463801609685,9.89503623830541,0.25200131552707816
Hyperbolic Discounting,-17.26539846707914,-27.61246679719435,-6.918330136963933,0.00779394133728281
Overconfidence Bias,-2.353347135955831,-6.347550671886807,1.6408563999751449,0.1903097040666095
