bias,mean_diff,ci_lower,ci_upper,p_value
Anchoring Bias,3.450619752099161,1.3425361739462947,5.558703330252027,0.008427176249306606
Availability Bias,9.81280193236715,2.8077495074197287,16.81785435731457,0.015528247909523066
Bandwagon Effect,8.441558441558444,4.171351230803093,12.711765652313794,0.003829076400140294
Confirmation Bias,33.16498316498316,24.95794740275605,41.37201892721028,0.00014239553000039017
Framing Effect,23.06796536796537,17.04032969669316,29.095601039237582,0.0001848923229842978
Hindsight Bias,-16.720430107526884,-28.20735002985827,-5.233510185195497,0.013407242452379772
Hyperbolic Discounting,-17.440976390556223,-21.713936976161364,-13.168015804951082,0.00013569776859526537
Overconfidence Bias,-1.0041407867494827,-8.32379131518085,6.315509741681884,0.7387343074771903
