bias,mean_diff,ci_lower,ci_upper,p_value
Anchoring Bias,2.479158663332053,-0.455226297737759,5.413543624401864,0.08195720861428611
Availability Bias,10.577984397409159,3.5675684069231517,17.588400387895167,0.011656760017826956
Bandwagon Effect,5.935587401104642,0.3349304026112705,11.536244399598013,0.04156106040653835
Confirmation Bias,26.053651176249684,17.65627341843159,34.45102893406778,0.0005000536141745861
Framing Effect,18.16994612000838,12.51208374426465,23.82780849575211,0.00042528136839138707
Hindsight Bias,-0.20067473243368875,-21.261852780830647,20.860503315963268,0.9814068395239801
Hyperbolic Discounting,-7.950900883146528,-14.835381991126724,-1.0664197751663336,0.031201339885720086
Overconfidence Bias,-1.4813945463591576,-5.444427293737544,2.481638201019228,0.38073737442179373
