bias,mean_diff,ci_lower,ci_upper,p_value
Anchoring Bias,5.6604025056644005,3.7320425036746463,7.588762507654154,0.0006477534931343923
Availability Bias,10.992829123787152,5.048173466422948,16.937484781151355,0.005088651980575373
Bandwagon Effect,8.528138528138529,4.678469077904613,12.377807978372445,0.0023293666792940123
Confirmation Bias,36.148148148148145,32.66919677281548,39.62709952348081,1.375491204537415e-06
Framing Effect,24.44375749013167,21.84719557348196,27.04031940678138,2.245882237781669e-06
Hindsight Bias,-10.02324480481647,-23.814112870994492,3.7676232613615515,0.1206757694798719
Hyperbolic Discounting,-24.754901453993018,-38.21613120084669,-11.293671707139342,0.005208888596452127
Overconfidence Bias,-2.7639751552795033,-6.597986011051284,1.0700357004922774,0.1230483085348791
